name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_КРУТ. МОМЕНТ. ПРИНЯТЫЙ ГИДРОТРАНСФ. АКП","PR122","21A5","(1.0*(2*D))/256","0","30","Nm","7E0"
"PR_КРУТ. МОМ. СОПР. ДВИГ.. ПЕРЕДАННЫЙ НА CAN","PR124","21A5","2*E-100","0","100","Nm","7E0"
"PR_МОЩН.. ПОТРЕБЛ. КОМПРЕССОРОМ КОНД.","PR125","21A9","20*K","300","3000","W","7E0"
"PR_МАКС. ДОПУСТ. МОЩНОСТЬ СОПРОТИВЛ. ОБОГР.","PR127","21C1","100*P","0","1200","W","7E0"
"PR_ОЦЕНОЧН. РАСХОД ВОЗДУХА","PR018","21A2","P","0","0","kg/h","7E0"
"PR_СКОРР. ПОЛОЖ. ДРОСС. КЛАПАНА С СЕРВОПРИВ.","PR111","21A2","(1.0*(100*(AE*256+AF)))/2048","0","100","%","7E0"
"PR_НИЖН. ОГРАН. ДР. КЛАП. ПОСЛЕ ВВЕД. СМЕЩ.","PR113","21A2","(1.0*(100*(AA*256+AB)))/1024","5.96","13.96","%","7E0"
"PR_НИЖНИЙ ОГРАНИЧИТЕЛЬ ДРОССЕЛЬНОГО КЛАПАНА","PR114","21A2","(1.0*(100*(AC*256+AD)))/1024","5.96","13.96","%","7E0"
"PR_УСТАВКА СКОРР. ПОЛОЖ. ДР. КЛ. С СЕРВОПР.","PR116","21A2","(1.0*(100*(AG*256+AH)))/2048","0","100","%","7E0"
"PR_ВЕРХНИЙ ОГРАНИЧИТЕЛЬ ДРОССЕЛЬНОГО КЛАПАНА","PR115","21A2","(1.0*(100*(Y*256+Z)))/1024","87.95","88","%","7E0"
"PR_ИЗМЕРЕННОЕ ПОЛОЖ. ДР. КЛАПАНА. ДОРОЖКА 1","PR118","21A2","0.4*B","4","99","%","7E0"
"PR_ИЗМЕРЕННОЕ ПОЛОЖ. ДР. КЛАПАНА. ДОРОЖКА 2","PR119","21A2","0.4*C","4","100","%","7E0"
"PR_ЭТАЛ. ПОЛОЖ. ФАЗОРЕГ. РАСП. ВАЛА ВП.КЛАП.","PR745","21A3","0.375*P","0","45","*V","7E0"
"ST_+ ПОСЛЕ ВКЛ. ЗАЖИГ. НА КОМПЬЮТЕРЕ","ET001","21A1","{A:7}","0","0","","7E0"
"ST_ЗАПУСК","ET076","21C7","{J:2}","0","0","","7E0"
"ST_ВВОД КОДА ВЫПОЛНЕН","ET006","21AF","{A:5}","0","0","","7E0"
"ST_ИМОБИЛАЙЗЕР","ET003","21AF","{A:6}","0","0","","7E0"
"ST_УДАР ОБНАРУЖЕН","ET077","21AF","E","0","0","","7E0"
"ST_ВВОД ПАРАМЕТРОВ МИШЕНИ МАХОВИКА ДВИГАТЕЛЯ","ET089","21A6","G","0","0","","7E0"
"ST_ЦЕПЬ УПРАВЛЕНИЯ БЕНЗОНАСОСА","ET047","21A1","{F:6}","0","0","","7E0"
"ST_КОМАНДА РЕЛЕ ПРИВОДА","ET048","21A1","{F:7}","0","0","","7E0"
"ST_КОМАНДА ВОДЯНОГО НАСОСА","ET543","21A1","{G:2}","0","0","","7E0"
"ST_КОМАНДА РЕЛЕ ВОЗДУШНОГО НАСОСА","ET049","21A1","{G:1}","0","0","","7E0"
"ST_КОМАНДА ПРОДУВКИ УЛОВИТЕЛЯ ПАРОВ ТОПЛИВА","ET050","21A1","{G:6}","0","0","","7E0"
"ST_ВВОД ПАРАМЕТРОВ КРАЙНИХ ПОЛОЖ. ДРОСС. КЛ.","ET051","21A7","{J:2}","0","0","","7E0"
"ST_ПЕДАЛЬ ПОЛН. ОТПУЩ. И ДРОСС. КЛАПАН ЗАКР.","ET075","21A1","{A:4}","0","0","","7E0"
"ST_НАГРЕВ ВЕРХНЕГО ДАТЧИКА КИСЛОРОДА","ET052","21A1","{G:3}","0","0","","7E0"
"ST_ПОДОГРЕВ НИЖНЕГО КИСЛОРОДНОГО ДАТЧИКА","ET053","21A1","{G:4}","0","0","","7E0"
"ST_РЕГУЛИРОВКА ХОЛОСТОГО ХОДА","ET054","21A7","{J:6}","0","0","","7E0"
"ST_КОНТУР СОСТАВА СМЕСИ ВЕРХНЕГО ДАТЧИКА","ET055","21A7","{J:7}","0","0","","7E0"
"ST_ДВОЙНОЙ КОНТУР СОСТАВА СМЕСИ","ET056","21A7","{J:5}","0","0","","7E0"
"ST_ФАЗОРЕГУЛЯТОР РАСПР. ВАЛА ВПУСК. КЛАПАНОВ","ET084","21A4","Q","0","0","","7E0"
"ST_КОМАНДА РЕГУЛЯТОРА РАСПРЕДЕЛИТ. ВАЛА","ET086","21A1","{H:7}","0","0","","7E0"
"ST_СИГНАЛ МАХОВИКА ДВИГАТЕЛЯ","ET062","21A7","{K:7}","0","0","","7E0"
"ST_НАЛИЧИЕ КОНДИЦИОНЕРА","ET079","21A7","{A:4}","0","0","","7E0"
"ST_ЗАПРОС НА ВКЛЮЧЕНИЕ КОМПРЕССОРА","ET088","21C1","{N:0}","0","0","","7E0"
"ST_ЗАПРОС УСКОРЕННОГО ХОЛОСТОГО ХОДА","ET023","21A1","{B:5}","0","0","","7E0"
"ST_РАЗРЕШЕНИЕ РАБОТЫ КОНДИЦИОНЕРА","ET004","21A1","{H:2}","0","0","","7E0"
"ST_УПРАВЛЕНИЕ ЭЛЕКТРОВЕНТИЛЯТОРА 1","ET014","21A1","{F:5}","0","0","","7E0"
"ST_УПРАВЛЕНИЕ ЭЛЕКТРОВЕНТИЛЯТОРА 2","ET015","21A1","{F:4}","0","0","","7E0"
"ST_ПЕДАЛЬ ТОРМОЗА","ET039","21D1","{I:0}","0","0","","7E0"
"ST_ПОЛОЖЕНИЕ ПАРК / НЕЙТРАЛЬ.","ET063","21A1","{B:3}","0","0","","7E0"
"ST_НЕИСПРАВНОСТЬ СИСТ. ВПРЫСКА УРОВНЯ 1","ET064","21A7","{K:1}","0","0","","7E0"
"ST_НЕИСПРАВНОСТЬ СИСТ. ВПРЫСКА УРОВНЯ 2","ET065","21A7","{K:0}","0","0","","7E0"
"ST_СЖ. ГАЗ В СОСТ. НЕИСПРАВНОСТИ","ET066","21A1","{L:2}","0","0","","7E0"
"ST_ГОТОВНОСТЬ СЖ. ГАЗА","ET067","21A1","{L:1}","0","0","","7E0"
"ST_БАК СЖ. ГАЗА ПУСТОЙ","ET068","21A1","{L:3}","0","0","","7E0"
"ST_ФУНКЦИОНИРОВАНИЕ В РЕЖИМЕ СЖ. ГАЗА","ET069","21A1","{L:7}","0","0","","7E0"
"ST_ПЕРЕХОД ИЗ РЕЖИМА БЕНЗ. В РЕЖ. СЖ. ГАЗА","ET071","21A1","{L:4}","0","0","","7E0"
"ST_ПЕРЕХОД ИЗ РЕЖ. СЖ. ГАЗА В РЕЖИМ БЕНЗИНА","ET072","21A1","{L:5}","0","0","","7E0"
"ST_УСЛОВИЯ ПЕРЕХОДА В РЕЖИМ СЖ. ГАЗА","ET073","21A1","{L:0}","0","0","","7E0"
"ST_ИНДИКАТОР OBD ВКЛЮЧЕН АВТ. ТРАНСМИССИЕЙ","ET074","21A1","{B:1}","0","0","","7E0"
"ST_ХОД ТЕСТА","ET099","21A6","{D:5}","0","0","","7E0"
"ST_ХОД ВЫПОЛНЕНИЯ ИСПЫТАНИЯ","ET100","21A6","{D:7}","0","0","","7E0"
"ST_РЕЗУЛЬТАТ ТЕСТА","ET092","21A6","X","0","0","","7E0"
"ST_РЕЗУЛЬТАТ ИСПЫТАНИЯ","ET101","21A6","Z","0","0","","7E0"
"ST_ETAT PRIVE 2","ET091","21A6","{A:7}","0","0","","7E0"
"ST_ETAT PRIVE 3","ET096","21A6","{A:1}","0","0","","7E0"
"ST_ETAT PRIVE 4","ET097","21A6","{A:5}","0","0","","7E0"
"ST_ETAT PRIVE 5","ET098","21A6","{E:7}","0","0","","7E0"
"ST_ETAT PRIVE 6","ET103","21A6","{C:1}","0","0","","7E0"
"ST_ЧИСЛО РОС ЗАФИКСИРОВАНО","ET111","21C1","((N>6)&3)","0","0","","7E0"
"ST_ОТКЛЮЧЕНИЕ РОС","ET112","21C1","((N>6)&3)","0","0","","7E0"
"ST_ПРОПУСК ЗАЖИГАНИЯ В ЦИЛИНДРЕ 1","ET057","21A6","{B:7}","0","0","","7E0"
"ST_РЕЗИСТОР ЗАЩИТЫ ОТ ВЫПАДЕНИЯ ПАРОВ МАСЛА","ET542","21A7","{B:3}","0","0","","7E0"
"ST_КОНТАКТ № 1 ВЫКЛЮЧАТЕЛЯ СТОП-СИГНАЛА","ET704","21D1","B","0","0","","7E0"
"ST_КОНТАКТ № 2 ВЫКЛЮЧАТЕЛЯ СТОП-СИГНАЛА","ET705","21D1","I","0","0","","7E0"
"ST_РЕЗЕРВНЫЙ РЕЖИМ ТИПА 1","ET564","21A1","{T:7}","0","0","","7E0"
"ST_РЕЗЕРВНЫЙ РЕЖИМ ТИПА 2","ET565","21A1","{T:6}","0","0","","7E0"
"ST_РЕЗЕРВНЫЙ РЕЖИМ ТИПА 3","ET566","21A1","{T:5}","0","0","","7E0"
"ST_РЕЗЕРВНЫЙ РЕЖИМ ТИПА 4","ET567","21A1","{T:4}","0","0","","7E0"
"ST_РЕЗЕРВНЫЙ РЕЖИМ ТИПА 5","ET568","21A1","{T:3}","0","0","","7E0"
"ST_РЕЗЕРВНЫЙ РЕЖИМ ТИПА 6","ET569","21A1","{T:2}","0","0","","7E0"
"ST_ПРОПУСК ЗАЖИГАНИЯ В ЦИЛИНДРЕ 2","ET058","21A6","{B:6}","0","0","","7E0"
"ST_ПРОПУСК ЗАЖИГАНИЯ В ЦИЛИНДРЕ 3","ET059","21A6","{B:5}","0","0","","7E0"
"ST_ПРОПУСК ЗАЖИГАНИЯ В ЦИЛИНДРЕ 4","ET060","21A6","{B:4}","0","0","","7E0"
"ST_КОНДИЦИОНЕР","LC009","21A7","{A:4}","0","0","","7E0"
"ST_ТИП СОЕДИНЕНИЯ СКОРОСТИ АВТОМОБИЛЯ","LC001","21A7","{G:4}","0","0","","7E0"
"ST_КОНТРОЛЬ ТРАЕКТОРИИ","LC010","21A7","{A:2}","0","0","","7E0"
"ST_ЗАМЫК. КОНТАКТ ТОРМОЗА ПРОВОДН. ТИПА","LC018","21A7","{B:2}","0","0","","7E0"
"ST_ВЕРХНИЙ ДАТЧИК КИСЛОРОДА","LC003","21A7","{D:2}","0","0","","7E0"
"ST_НИЖНИЙ ДАТЧИК КИСЛОРОДА","LC004","21A7","{D:1}","0","0","","7E0"
"ST_УПРАВЛЕНИЕ СИГНАЛОМ ДАВЛЕНИЯ КОНДИЦИОНЕРА","LC016","21A7","{H:0}","0","0","","7E0"
"ST_ТИП КОРОБКИ ПЕРЕДАЧ","LC005","21A7","{D:3}","0","0","","7E0"
"ST_РАСПОЗНАВАНИЕ ЦИЛИНДРА 1","LC007","21A7","{H:4}","0","0","","7E0"
"ST_НАГРЕВАТЕЛЬНЫЙ РЕЗИСТОР","LC025","21A7","{A:0}","0","0","","7E0"
"ST_СТРАТЕГИЯ РАБОТЫ ВОЗДУШНОГО НАСОСА","LC014","21A7","{B:0}","0","0","","7E0"
"ST_СТРАТЕГИЯ РАБОТЫ ВОДЯНОГО НАСОСА","LC015","21A7","{B:1}","0","0","","7E0"
"ST_ПОСЛЕДОВАТ. БОРТ. ДИАГН. КАЛТАЛИЗАТОРА","LC021","21A6","{E:5}","0","0","","7E0"
"ST_ПОСЛЕДОВАТ. БОРТ. ДИАГН. ПРОПУСКА СГОРАН.","LC022","21A6","{E:1}","0","0","","7E0"
"ST_ПОСЛЕДОВАТ. БОРТ. ДИАГНОСТИКИ ДАТЧИКОВ","LC023","21A6","{E:7}","0","0","","7E0"
"ST_УПРАВЛЕНИЕ ИНДИКАТОРОМ БОРТ. ДИАГН. OBD","LC024","21A7","{D:6}","0","0","","7E0"
"ST_ВОЗДУШНЫЙ НАСОС","LC164","21A7","{E:7}","0","0","","7E0"
"ST_ЭЛЕКТРИЧЕСКИЙ ВОДЯНОЙ НАСОС","LC170","21A7","{E:6}","0","0","","7E0"
"ST_РЕГУЛЯТОР СКОРОСТИ","LC120","21D1","{K:3}","0","0","","7E0"
"ST_ОГРАНИЧИТЕЛЬ СКОРОСТИ","LC121","21D1","{K:4}","0","0","","7E0"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS2","2182","M","0","0","","7E0"
