name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"ST_ПОД. БЕЗОП. ОПОРЫ/ПОЯСА СИДЕНЬЯ ПАССАЖИРА","ET155","210B","{A:1}","0","0","","752"
"ST_ПОДУШКА(И) БЕЗ. ПАССАЖ. ЗАБЛОКИРОВАНА(Ы)","ET165","2103","{B:4}","0","0","","752"
"ST_ПРИСУСТВИЕ ПАССАЖИРА ОБНАРУЖЕНО","ET171","2103","((Q>4)&3)","0","0","","752"
"ST_ФРОНТАЛЬНАЯ ЗАДНЯЯ ПОДУШКА СО СТОРОНЫ ВОДИТЕЛЯ","ET172","210B","{D:1}","0","0","","752"
"ST_ФРОНТАЛЬНАЯ ЗАДНЯЯ ПОДУШКА СО СТОРОНЫ ПАССАЖИРА","ET173","210B","{D:2}","0","0","","752"
"ST_ПОД. БЕЗОП. ОПОРЫ/ПОЯСА СИДЕНЬЯ ВОДИТЕЛЯ","LC080","2108","{A:0}","0","0","","752"
"ST_ПОД. БЕЗОП. ОПОРЫ/ПОЯСА СИДЕНЬЯ ПАССАЖИРА","LC079","2108","{A:1}","0","0","","752"
"ST_ПЕРЕДНЯЯ ПОДУШКА БЕЗОПАСНОСТИ ПАССАЖИРА ЦЕПЬ 1","LC052","2108","{A:4}","0","0","","752"
"ST_ПЕРЕДНЯЯ ПОДУШКА БЕЗОПАСНОСТИ ПАССАЖИРА ЦЕПЬ 2","LC047","2108","{A:5}","0","0","","752"
"ST_ПЕРЕДНЯЯ ПОДУШКА БЕЗОПАСНОСТИ ВОДИТЕЛЯ ЦЕПЬ 1","LC048","2108","{A:6}","0","0","","752"
"ST_ПЕРЕДНЯЯ ПОДУШКА БЕЗОПАСНОСТИ ВОДИТЕЛЯ ЦЕПЬ 2","LC049","2108","{A:7}","0","0","","752"
"ST_ФРОНТАЛЬНАЯ ЗАДНЯЯ ПОДУШКА СО СТОРОНЫ ВОДИТЕЛЯ","LC091","2108","{D:1}","0","0","","752"
"ST_ФРОНТАЛЬНАЯ ЗАДНЯЯ ПОДУШКА СО СТОРОНЫ ПАССАЖИРА","LC092","2108","{D:2}","0","0","","752"
"ST_БОК. ПОДУШКА БЕЗОП. ДЛЯ ГОЛОВЫ СО СТОР. ВОДИТЕЛЯ","LC040","2108","{B:0}","0","0","","752"
"ST_БОК. ПОДУШКА БЕЗ. ДЛЯ ГОЛОВЫ СО СТОР. ПАССАЖИРА","LC041","2108","{B:1}","0","0","","752"
"ST_БОК. ПЕРЕДН. ПОДУШКА БЕЗОП. ДЛЯ ГРУДИ ВОДИТЕЛЯ","LC042","2108","{B:2}","0","0","","752"
"ST_БОК. ПЕРЕДН. ПОД. БЕЗОП. ДЛЯ ГРУДИ ПЕР. ПАССАЖ.","LC043","2108","{B:3}","0","0","","752"
"ST_БОК. ЗАДН. ПОДУШКА БЕЗОП. ДЛЯ ГРУДИ ВОДИТЕЛЯ","LC044","2108","{B:4}","0","0","","752"
"ST_БОК. ЗАДН. ПОДУШКА БЕЗОП. ДЛЯ ГРУДИ ПАССАЖИРА","LC045","2108","{B:5}","0","0","","752"
"ST_УСТР. ПРЕДВ. НАТЯЖ. ПЕРЕДН. ПЛЕЧ. РЕМНЕЙ","LC081","2108","{C:3}","0","0","","752"
"ST_ЗАДНИЕ НАМАТЫВАТЕЛИ","LC078","2108","{C:6}","0","0","","752"
"ST_ДАТЧИК ПОЛОЖЕНИЯ СИДЕНЬЯ ВОДИТЕЛЯ","LC086","2109","{B:2}","0","0","","752"
"ST_ДАТЧИК БОКОВОГО УДАРА СО СТОРОНЫ ВОДИТЕЛЯ","LC025","2109","{B:6}","0","0","","752"
"ST_БОКОВОЙ ДАТЧИК ПАССАЖИРА","LC026","2109","{B:7}","0","0","","752"
"ST_ДАТЧИК ПЕТЛИ РЕМНЯ ВОДИТЕЛЯ","LC073","2109","{C:4}","0","0","","752"
"ST_ДАТЧИК ПЕТЛИ РЕМНЯ ПАССАЖИРА","LC074","2109","{C:5}","0","0","","752"
"ST_ДАТЧИК ЗАДНЕГО РЕМНЯ СО СТОРОНЫ ВОДИТЕЛЯ","LC090","2109","{B:0}","0","0","","752"
"ST_ДАТЧИК ЗАДНЕГО РЕМНЯ СО СТОРОНЫ ПАССАЖИРА","LC089","2109","{B:1}","0","0","","752"
"ST_ДАТЧИК ОБНАРУЖЕНИЯ ПРИСУТСТВИЯ ПАССАЖИРА","LC075","2109","{C:6}","0","0","","752"
"ST_РЕЖИМ БЛОКИР. ПОДУШКИ БЕЗОПАСН. ПАССАЖИРА","LC060","2102","H","0","0","","752"
"ST_СТОРОНА РУЛЕВОГО УПРАВЛЕНИЯ","LC088","2102","B","0","0","","752"
"ST_ТИП АВТОМОБИЛЯ","LC034","2180","V","0","0","","752"
